driver_id,driver_name,current_location,truck_type,truck_length,max_weight,max_deadhead,preferred_destination,driver_rating,experience_years,availability
1,Shawn,"Dallas, TX",Dry Van,53 ft,45000,150,"Atlanta, GA",4.8,10,1
2,Issac,"Dallas, TX",Flatbed,53 ft,48000,120,"Chicago, IL",4.5,7,1
3,Michael,"Fort Worth, TX",Dry Van,53 ft,44000,100,"Phoenix, AZ",4.6,8,1
4,David,"Houston, TX",Reefer,53 ft,43000,180,"Miami, FL",4.7,9,1
5,Robert,"Chicago, IL",Dry Van,53 ft,45000,130,"New York, NY",4.4,6,1
6,Anthony,"Atlanta, GA",Reefer,53 ft,42000,160,"Orlando, FL",4.9,11,1
7,James,"Los Angeles, CA",Dry Van,53 ft,44000,150,"Las Vegas, NV",4.3,5,1
8,William,"Phoenix, AZ",Flatbed,48 ft,47000,140,"Denver, CO",4.5,6,1
9,Daniel,"Miami, FL",Reefer,53 ft,42000,110,"Atlanta, GA",4.6,8,1
10,Chris,"Denver, CO",Step Deck,53 ft,46000,200,"Salt Lake City, UT",4.2,4,1
11,Kevin,"Seattle, WA",Dry Van,53 ft,44000,170,"Boise, ID",4.7,9,1
12,Brian,"Nashville, TN",Flatbed,53 ft,48000,140,"Charlotte, NC",4.4,6,1
13,Mark,"Kansas City, MO",Dry Van,53 ft,45000,130,"Indianapolis, IN",4.6,7,1
14,Steven,"Charlotte, NC",Reefer,53 ft,42000,160,"Philadelphia, PA",4.8,10,1
15,Andrew,"Orlando, FL",Dry Van,53 ft,44000,120,"Houston, TX",4.3,5,1
